Magic Word Detection Log - 20250808_162818
Magic Word: 0201040306050807
Baudrate: 921600
============================================================
Chunk    1 | Position   0 | Interval    N/A  | Size 1024B | Data 020104030605080700020603e0040000
Chunk   32 | Position 914 | Interval  500.0ms | Size 1024B | Data 00020603a004000043680a0022000000
Chunk   33 | Position 827 | Interval  500.0ms | Size 1024B | Data 00005cbb90be0bbae43f000000000000
Chunk   34 | Position 743 | Interval  504.0ms | Size 1024B | Data 608a40000000000000000056f8203e83
Chunk   35 | Position 647 | Interval  500.0ms | Size 1024B | Data 0065979b3f3c82e43f0000000065979b
Chunk   36 | Position 551 | Interval  500.0ms | Size 1024B | Data e53f00000000653fb5276b3f00000000
Chunk   37 | Position 474 | Interval  504.0ms | Size 1024B | Data 00ec021301f402ae000403dc00e002ed
Chunk   38 | Position 378 | Interval  500.0ms | Size 1024B | Data 0c3d0dae0d0d0e060e170e2c0e9d0e55
Chunk   39 | Position 307 | Interval  500.0ms | Size 1024B | Data 0db60c3e0c910ca10c5b0ca80c9b0c3c
Chunk   40 | Position 211 | Interval  503.0ms | Size 1024B | Data 5f091109ce09d509e1093c0afc09a609
Chunk   41 | Position 115 | Interval  500.6ms | Size 1024B | Data f0085c09ce097d09c4097d09130a000a
Chunk   42 | Position  80 | Interval  500.0ms | Size 1024B | Data c40a510c310ec10f2010a80f06000000
Chunk   43 | Position  16 | Interval  988.4ms | Size 1024B | Data 37003800370044d6000801000000383b
Chunk   43 | Position 976 | Interval    0.0ms | Size 1024B | Data 37003800370044d6000801000000383b
Chunk   44 | Position 886 | Interval  500.0ms | Size 1024B | Data 56f8203e83255a3e0000000000000000
Chunk   45 | Position 827 | Interval  500.0ms | Size 1024B | Data 0000000000003c82d43fb5276b3f0000
Chunk   46 | Position 795 | Interval  500.1ms | Size 1024B | Data 608a40000000000000000056f8203e83
Chunk   47 | Position 713 | Interval  503.9ms | Size 1024B | Data d8db3f0000000065979b3f0000000044
Chunk   48 | Position 681 | Interval  500.0ms | Size 1024B | Data 3f0000000065979b3f3c82d43fb5276b
Chunk   49 | Position 632 | Interval  500.0ms | Size 1024B | Data 3f0000000065979b3f0000000065979b
Chunk   50 | Position 586 | Interval  500.0ms | Size 1024B | Data 0044ece13f0000000065979bbf5cbb90
Chunk   51 | Position 514 | Interval  500.0ms | Size 1024B | Data 957de93f000000006597006c000000db
Chunk   52 | Position 444 | Interval  504.0ms | Size 1024B | Data e102ef02ee00f502f100fb02e5000903
